"PARR 0+ year","0+ parr","adults","survival rate (%)"
1984,NA,343,NA
1985,1320,200,15.15
1986,8053,188,2.33
1987,11786,297,2.52
1988,11029,388,3.52
1989,10714,145,1.35
1990,5835,271,4.64
1991,6969,511,7.33
1992,4924,344,6.99
1993,4699,195,4.15
1994,13854,186,1.34
1995,5935,149,2.51
1996,7186,188,2.62
1997,7548,164,2.17
1998,6874,198,2.88
1999,9896,284,2.87
2000,11000,341,3.1
2001,12385,61,0.49
2002,15342,133,0.87
2003,7129,81,1.14
2004,4444,68,1.53
2005,9467,89,0.94
2006,2473,76,3.07
2007,3141,106,3.37
2008,5149,156,3.03
2009,2753,87,3.16
2010,7215.5,106,1.47
2011,4767,112,2.35
2012,15372,84,0.55
2013,4701,NA,NA
2014,6821,NA,NA
2015,8169,NA,NA
2016,10156,NA,NA
